id,cuisine,ingredients
9010,japanese,9
18611,mexican,15
35124,italian,14
45605,filipino,9
16334,southern_us,9
32035,italian,12
16810,italian,15
3641,chinese,16
43374,mexican,17
9112,indian,7
14970,korean,10
41396,mexican,15
4748,mexican,16
41833,japanese,6
18031,greek,12
29734,mexican,10
26415,southern_us,7
29801,chinese,6
24351,british,5
8480,japanese,8
27023,italian,15
10425,mexican,6
37188,irish,8
24338,greek,11
3457,cajun_creole,5
1355,japanese,10
40738,italian,14
42380,southern_us,17
16857,southern_us,11
2923,southern_us,5
7528,italian,12
15990,indian,11
27615,chinese,15
26061,japanese,5
23053,mexican,13
5090,mexican,6
36862,french,10
873,mexican,9
23726,mexican,17
48576,irish,20
25118,chinese,12
17586,mexican,5
22678,greek,15
428,korean,4
6745,mexican,14
31009,spanish,15
20983,italian,13
19572,southern_us,9
15273,italian,9
14198,mexican,4
18643,french,7
17816,mexican,8
46893,french,8
1110,filipino,11
21375,mexican,13
42833,mexican,8
5328,italian,11
17188,mexican,14
19622,southern_us,7
26498,italian,5
27140,japanese,12
32353,italian,8
37070,mexican,8
2298,mexican,9
15291,southern_us,10
8274,southern_us,16
23521,italian,4
28342,jamaican,14
8791,italian,7
242,korean,13
15347,southern_us,12
20981,indian,16
39391,italian,12
23147,indian,20
44020,mexican,15
3245,korean,7
40403,southern_us,6
33603,vietnamese,13
19691,korean,6
6862,indian,24
20123,southern_us,5
22712,mexican,7
31428,mexican,18
9373,italian,9
7666,italian,6
40617,korean,5
26676,thai,20
38067,southern_us,9
14778,chinese,15
636,french,6
35408,greek,8
22658,southern_us,15
44866,mexican,7
18389,indian,10
40014,southern_us,12
20863,mexican,6
35041,japanese,4
30649,british,11
14351,japanese,17
14146,mexican,6
48911,filipino,14
4252,mexican,7
46135,mexican,11
20668,indian,12
4009,mexican,9
40466,indian,4
32480,greek,9
8223,italian,12
4114,mexican,10
3605,chinese,11
41363,cajun_creole,17
23437,italian,9
9291,mexican,6
45423,italian,13
31462,italian,11
45412,italian,10
33048,chinese,17
42879,italian,9
6164,thai,14
37704,southern_us,12
29489,italian,9
6115,mexican,17
9829,filipino,38
36254,indian,17
23839,filipino,11
40283,italian,11
11108,italian,4
42685,mexican,9
23629,mexican,12
36565,italian,12
42083,indian,9
26032,indian,14
19811,thai,14
30382,vietnamese,6
49175,cajun_creole,10
41668,mexican,16
9206,mexican,4
7322,southern_us,7
23637,chinese,12
43650,italian,16
45593,korean,13
38706,french,9
38433,chinese,18
47826,british,9
7171,indian,13
18231,chinese,15
34385,korean,9
12340,chinese,15
33221,indian,17
43228,italian,16
3416,italian,10
23636,chinese,10
22822,indian,7
801,southern_us,10
42007,korean,11
20792,vietnamese,4
44500,indian,6
19004,japanese,6
41301,moroccan,13
16712,moroccan,5
28250,italian,12
34209,indian,17
1667,mexican,8
48571,mexican,11
10074,mexican,5
43711,southern_us,8
6440,chinese,15
36583,cajun_creole,8
10003,french,18
24738,indian,6
20039,chinese,21
29446,southern_us,14
45711,french,11
45039,thai,40
46417,mexican,7
48080,mexican,4
15882,french,9
49263,italian,7
45956,italian,5
40509,french,9
11665,greek,4
22997,italian,7
44271,indian,17
29887,filipino,4
1764,french,14
40300,moroccan,15
45296,indian,10
24365,vietnamese,17
34996,thai,6
47623,mexican,14
26464,mexican,14
18329,filipino,12
43437,italian,14
25375,chinese,17
26631,italian,7
26172,cajun_creole,17
19747,korean,8
38346,russian,4
31903,italian,13
12099,irish,9
38717,vietnamese,14
30335,japanese,8
15171,chinese,21
31425,cajun_creole,6
36118,italian,7
18190,french,10
33717,moroccan,13
15460,southern_us,5
21052,brazilian,17
35729,chinese,13
45841,korean,10
1182,italian,14
15229,italian,9
31209,italian,4
18271,spanish,11
14202,southern_us,11
10111,italian,11
1128,italian,3
37109,french,13
9952,italian,6
11164,italian,14
9852,mexican,11
45574,greek,10
22581,french,13
9082,spanish,9
30985,japanese,10
42612,italian,12
38754,japanese,3
45037,greek,8
33197,japanese,9
13005,chinese,7
18203,mexican,6
10210,italian,6
38581,thai,16
32489,chinese,8
26647,mexican,7
34240,british,23
8579,japanese,6
49639,mexican,11
17120,mexican,19
27213,southern_us,9
18621,indian,11
35302,cajun_creole,18
27648,japanese,10
17658,greek,21
24029,chinese,16
45990,thai,11
20692,chinese,14
37593,cajun_creole,6
46635,indian,11
20149,italian,9
623,brazilian,3
12048,mexican,10
48523,chinese,8
16797,italian,7
23336,french,9
15645,mexican,14
39904,greek,13
35962,russian,9
9138,southern_us,9
47406,irish,5
30250,vietnamese,16
26545,southern_us,11
13554,jamaican,16
44562,indian,13
3820,korean,12
49668,italian,10
27688,italian,10
31969,italian,12
33085,french,8
20061,italian,11
24552,thai,14
27204,mexican,18
8304,italian,2
28063,italian,17
38473,thai,11
84,greek,14
12152,southern_us,17
25201,mexican,8
22633,italian,11
41282,italian,12
3040,cajun_creole,5
29033,thai,14
40224,mexican,5
24640,irish,8
49262,japanese,9
28657,mexican,10
18842,italian,12
27019,mexican,10
2982,italian,11
33222,italian,13
39361,southern_us,12
13489,indian,9
36461,italian,6
20757,french,12
35136,japanese,12
30327,southern_us,21
43455,italian,10
36947,mexican,13
28056,british,8
7530,mexican,24
47505,mexican,7
16520,french,9
35311,moroccan,11
22833,chinese,10
14398,korean,17
29168,indian,7
22461,chinese,9
13615,southern_us,9
6360,italian,10
40360,mexican,8
40182,southern_us,10
31438,cajun_creole,22
31798,southern_us,10
14342,spanish,9
14385,italian,11
14308,vietnamese,24
33841,korean,14
12830,chinese,18
23096,italian,7
34026,southern_us,11
30835,filipino,13
15072,filipino,10
1121,chinese,9
18376,italian,8
17815,italian,8
32878,southern_us,19
24410,british,17
